iteration,tot_distance,member_count,ave_distance
1,921.4147330000002,213,4.325890765258217
2,2141.9348889999983,382,5.607159395287954
3,4458.539337999999,523,8.524931812619501
4,4596.694442000001,527,8.722380345351045
5,4700.310770000003,530,8.868510886792459
6,4769.388321999999,532,8.965015642857141
7,4862.111603,535,9.088059071028038
8,4954.461120000001,539,9.191950129870131
9,4970.361534999999,540,9.204373212962961
10,5004.900311,541,9.251202053604437
11,5039.439087000002,542,9.297858094095943
12,5081.663259000001,544,9.341292755514708
13,5266.506929000005,562,9.371008770462641
14,5979.549995000007,637,9.38704865777081
15,6884.3810550000035,716,9.61505733938548
16,10348.74665899998,848,12.203710682782996
17,12904.162963999976,951,13.569046229232361
18,13696.690578999975,982,13.947750080448039
19,14725.695524999963,1013,14.536718188548829
20,16196.721367999926,1057,15.32329363103115
