iteration,tot_distance,member_count,ave_distance
1,1377.1923200000006,230,5.9877926956521765
2,4932.861399000001,383,12.879533678851178
3,8745.194985000013,500,17.490389970000027
4,12082.570089999961,597,20.23881087102171
5,15398.2925859999,693,22.219758421356275
6,18886.708961999993,794,23.786787105793444
7,22409.66411400013,896,25.010785841518004
8,24136.602914000185,946,25.514379401691528
9,26684.761594000265,1021,26.135907535749524
10,28606.262534000292,1103,25.934961499546954
11,29693.38931100027,1156,25.686322933391235
12,29903.96949900028,1163,25.712785467756042
13,30249.106212000308,1171,25.83185842186192
14,30525.416420000292,1179,25.890938439355633
15,30761.085154000313,1186,25.936834025295372
16,30959.4556610003,1192,25.97269770218146
17,31108.124119000302,1197,25.988407785296825
18,31249.94604400031,1203,25.976680003325278
19,31400.075613000314,1208,25.993440076987014
20,31538.230717000304,1212,26.02164250577583
