iteration,tot_distance,member_count,ave_distance
1,3784.1488919999965,231,16.38159693506492
2,9072.305971000027,387,23.442651087855367
3,13100.972631999963,507,25.840182706114327
4,14620.678775999924,551,26.534807215970826
5,14758.833879999926,555,26.592493477477344
6,14896.988983999918,559,26.64935417531291
7,15120.393818999915,572,26.43425492832153
8,18865.715547999982,709,26.608907684062032
9,22309.790547000113,810,27.542951292592733
10,24658.427315000234,878,28.084769151480906
11,27386.990619000295,957,28.61754505642664
12,30104.0671680004,1036,29.05797989189228
13,32019.659141000437,1099,29.135267644222417
14,32349.864447000436,1110,29.144022024324716
15,32418.941999000428,1112,29.15372481924499
16,32522.55832700046,1115,29.168213746188755
17,32591.635879000427,1117,29.177829793196445
18,32660.713431000444,1119,29.18741146648833
19,32729.79098300044,1121,29.196958950044994
20,32833.40731100045,1124,29.211216468861608
