iteration,tot_distance,member_count,ave_distance
1,1842.7641839999992,213,8.651475042253518
2,4782.430076999995,382,12.519450463350774
3,8513.654453000014,523,16.278497998087982
4,8651.809557000017,527,16.41709593358637
5,8755.425885000015,530,16.519671481132104
6,8824.503437000012,532,16.587412475563934
7,8928.11976500001,535,16.68807432710282
8,9066.274869000013,539,16.82054706679038
9,9998.821821,566,17.665762934628976
10,13038.234108999948,654,19.936137781345487
11,15406.19685999992,723,21.308709349930734
12,16878.588917999907,781,21.611509498079265
13,19592.750546999945,898,21.81820773608012
14,21282.91312199999,947,22.474037087645186
15,23156.62507600004,1006,23.018513992047755
16,25135.79469700011,1064,23.623867196428677
17,25204.87224900007,1066,23.644345449343405
18,25239.411025000107,1067,23.654555787254083
19,25308.488577000142,1069,23.674919155285448
20,25343.027353000136,1070,23.68507229252349
