iteration,tot_distance,member_count,ave_distance
1,3847.2714299999952,231,16.654854675324653
2,9199.679682000022,387,23.771782124031063
3,13266.209503999959,507,26.166093696252382
4,14785.915647999922,551,26.834692646097864
5,14924.07075199992,555,26.890217571171025
6,15062.225855999915,559,26.94494786404278
7,15156.689972999915,563,26.921296577264503
8,15306.733315999914,568,26.948474147887172
9,16471.1311309999,602,27.3606829418603
10,20028.62505900003,705,28.409397246808556
11,22619.03325900012,780,28.998760588461693
12,24238.19993300017,827,29.308585166868404
13,26969.34203000023,908,29.701918535242545
14,28665.342949000275,958,29.922069884133897
15,31179.850002000327,1035,30.125458939130752
16,32872.25002600038,1084,30.324953898524335
17,33666.641874000416,1107,30.412503951219886
18,34046.56841000044,1118,30.453102334526328
19,34150.18473800047,1121,30.464036340767592
20,33942.78444300045,1114,30.469285855476166
