iteration,tot_distance,member_count,ave_distance
1,1377.1923200000006,230,5.9877926956521765
2,5791.591438000005,411,14.091463352798066
3,14720.518250999941,676,21.77591457248512
4,19676.36144900003,820,23.995562742682964
5,21817.76556100012,882,24.736695647392427
6,23959.16967300019,944,25.38047634851715
7,25547.953369000235,990,25.806013504040642
8,25789.724801000244,997,25.86732678134428
9,25927.87990500024,1001,25.90197792707317
10,26135.11256100026,1007,25.953438491559346
11,27274.892169000297,1040,26.225857854807977
12,27620.27992900028,1050,26.30502850380979
13,31818.180172000342,1172,27.148617894198246
14,32219.44627900037,1184,27.21237016807464
15,32378.912788000413,1189,27.23205448948731
16,32335.152342000365,1188,27.21814170202051
17,32169.997696000373,1184,27.17060616216248
18,32591.08668400041,1198,27.204579869783313
19,32783.256488000385,1204,27.22861834551527
20,32955.950368000376,1209,27.25885059387955
