iteration,tot_distance,member_count,ave_distance
1,921.401775,213,4.325829929577465
2,2141.8981469999985,382,5.607063212041881
3,4458.464735999998,523,8.524789170172081
4,4596.619839999998,527,8.722238785578742
5,4700.236168,530,8.868370128301887
6,4769.313720000003,532,8.96487541353384
7,4862.035038000001,535,9.087915958878506
8,4954.3815700000005,539,9.191802541743971
9,4970.281675000001,540,9.204225324074075
10,5004.820451000001,541,9.251054438077636
11,5039.359226999999,542,9.297710750922507
12,5081.581884999999,544,9.34114317095588
13,5112.414542000003,547,9.346278870201102
14,5146.792669000004,550,9.35780485272728
15,5215.870221000001,552,9.449040255434785
16,5302.391703000005,555,9.553858924324333
17,5354.782696000002,557,9.613613457809699
18,5458.3990239999985,560,9.74714111428571
19,5471.904941999999,561,9.753841251336897
20,5510.052596000001,564,9.769596801418443
