iteration,tot_distance,member_count,ave_distance
1,1377.4500970000006,230,5.988913465217394
2,4933.700243000001,383,12.881723872062667
3,8746.620217000012,500,17.493240434000025
4,11980.456942999965,594,20.169119432659873
5,12360.383478999947,605,20.43038591570239
6,12636.693686999955,613,20.614508461663874
7,14225.477382999929,659,21.586460368740408
8,18335.591726999966,778,23.56759862082258
9,21375.00401500009,866,24.682452673210264
10,25001.57549500023,971,25.74827548403731
11,27971.91023100034,1057,26.463491230842326
12,29664.310255000386,1106,26.82125701175442
13,30182.140843000412,1119,26.972422558534774
14,30410.709520000364,1126,27.00773492007137
15,30677.82445200038,1134,27.052755248677585
16,30790.812359000407,1138,27.056952863796493
17,31044.940266000405,1147,27.066207729730085
18,31229.631429000405,1153,27.085543303556292
19,31367.786533000402,1157,27.1113107458949
20,31471.40286100038,1160,27.13051970775895
