iteration,tot_distance,member_count,ave_distance
1,1452.5211799999997,179,8.11464346368715
2,4068.0327799999973,270,15.066788074074063
3,6531.643551000018,343,19.04269256851317
4,8880.28031900002,411,21.60652145742097
5,10261.831358999996,451,22.753506339246112
6,13784.786510999935,553,24.927281213381438
7,16360.061174999892,628,26.051052826432947
8,19744.861223000014,726,27.196778544077155
9,21540.877575000075,778,27.687503309768733
10,22369.80819900011,802,27.89252892643405
11,23509.587807000153,835,28.155194978443298
12,24234.90210300019,856,28.311801522196482
13,25706.90771600024,896,28.69074521875027
14,26354.26132500027,915,28.802471393442918
15,26665.11030900028,924,28.858344490260045
16,26872.342965000284,930,28.894992435484177
17,26975.959293000276,933,28.91313964951798
18,26975.959293000284,933,28.91313964951799
19,26975.95929300029,933,28.913139649517998
20,26975.95929300028,933,28.913139649517984
