iteration,tot_distance,member_count,ave_distance
1,4612.307678999995,241,19.13820613692944
2,7758.584594000021,375,20.68955891733339
3,10670.233252999995,515,20.71889952038834
4,10748.50215699999,526,20.43441474714827
5,10852.118484999992,529,20.51440167296785
6,10886.657260999991,530,20.540862756603758
7,10921.196036999992,531,20.567224175141227
8,10990.273588999988,533,20.61965026078797
9,11024.812364999985,534,20.645716039325816
10,11282.94122999998,554,20.366319909747258
11,12437.731414999964,639,19.464368411580537
12,15698.09640799991,738,21.27113334417332
13,19117.435232,837,22.840424410991638
14,21712.333342000104,927,23.422150314994717
15,22564.937017000175,986,22.885331660243587
16,24484.10382300026,1048,23.362694487595668
17,24504.099632000238,1053,23.27074988793945
18,24491.853482000242,1050,23.325574744762136
19,24491.853482000275,1050,23.325574744762168
20,24501.532113000267,1054,23.246235401328526
