iteration,tot_distance,member_count,ave_distance
1,1602.567748,215,7.453803479069768
2,4096.016804,350,11.702905154285714
3,7344.474837000014,476,15.429568985294148
4,9036.874861000013,525,17.21309497333336
5,10589.342173999987,570,18.577793287719274
6,14146.836101999925,673,21.02055884398206
7,18663.852803999966,804,23.213747268656675
8,22869.018601000138,926,24.696564363931035
9,26495.59008100029,1031,25.698923453928504
10,26737.36151300028,1038,25.75853710308312
11,26737.361513000295,1038,25.758537103083135
12,26737.36151300028,1038,25.75853710308312
13,26737.361513000284,1038,25.758537103083125
14,26737.361513000284,1038,25.758537103083125
15,26737.36151300028,1038,25.75853710308312
16,26737.36151300029,1038,25.758537103083132
17,26737.361513000284,1038,25.758537103083125
18,26737.361513000287,1038,25.75853710308313
19,26737.361513000287,1038,25.75853710308313
20,26737.361513000287,1038,25.75853710308313
