iteration,tot_distance,member_count,ave_distance
1,1049.601725,232,4.52414536637931
2,1925.019695000001,351,5.484386595441599
3,2910.428195,436,6.675294025229357
4,4581.808554999995,523,8.760628212237084
5,4769.313719999998,532,8.964875413533832
6,4827.496261999998,534,9.04025517228464
7,4896.222057,536,9.134742643656717
8,4936.2596539999995,538,9.175203817843865
9,4970.281675000001,540,9.204225324074075
10,5081.5818850000005,544,9.341143170955883
11,5090.873440999999,545,9.341052185321098
12,5112.414541999999,547,9.346278870201095
13,5146.792669,550,9.357804852727273
14,5215.870221000001,552,9.449040255434785
15,5302.391703000003,555,9.553858924324329
16,5389.321472000003,558,9.65828220788531
17,5471.904942,561,9.7538412513369
18,5486.944002000005,562,9.76324555516015
19,5510.052596000002,564,9.769596801418444
20,5527.5371360000045,566,9.7659666713781
