iteration,tot_distance,member_count,ave_distance
1,921.3996560000002,213,4.325819981220658
2,2141.8921330000016,382,5.607047468586392
3,4458.452510999999,523,8.524765795411087
4,4596.607615,527,8.722215588235294
5,4700.223943000002,530,8.868347062264155
6,4769.3014950000015,532,8.96485243421053
7,4862.022491000003,535,9.087892506542062
8,4954.368533000003,539,9.191778354359931
9,4970.268587000003,540,9.204201087037044
10,5004.807363000003,541,9.25103024584104
11,5039.346139000001,542,9.297686603321035
12,5081.568549000002,544,9.341118656250003
13,5112.401082000006,547,9.346254263254124
14,5146.7790740000055,550,9.357780134545465
15,5215.856626000005,552,9.449015626811605
16,5302.378045000007,555,9.553834315315328
17,5354.768951000005,557,9.613588780969488
18,5458.385279000003,560,9.747116569642863
19,5471.891121000003,561,9.753816614973267
20,5510.038563000003,564,9.76957192021277
