iteration,tot_distance,member_count,ave_distance
1,1377.430259,230,5.9888272130434785
2,4933.635693,383,12.881555334203656
3,8746.51054600002,500,17.49302109200004
4,11980.34127399997,594,20.168924703703652
5,12360.26780999995,605,20.430194727272646
6,12636.578017999953,613,20.61431976835229
7,12843.810673999953,619,20.749290264943383
8,13016.504553999948,624,20.85978293910248
9,13223.737209999954,630,20.99005906349199
10,13569.124969999955,640,21.20175776562493
11,13845.435177999943,648,21.366412311728308
12,14259.900489999947,660,21.605909833333254
13,14536.21069799994,668,21.760794458083744
14,14864.89429199994,678,21.924622849557434
15,15006.72075699994,683,21.971772704245886
16,15122.691087999925,688,21.98065565116268
17,15272.841718999935,693,22.038732639249545
18,15410.996822999927,697,22.11046889956948
19,15549.151926999928,701,22.181386486447828
20,15687.307030999928,705,22.25149933475167
