iteration,tot_distance,member_count,ave_distance
1,818.921861,135,6.06608785925926
2,2227.366405999999,231,9.64227881385281
3,3006.536427999998,257,11.698585322957191
4,4830.081018000001,310,15.580906509677423
5,5817.582052000009,339,17.16100900294988
6,7927.396553000027,401,19.76906871072326
7,9274.408817000012,440,21.07820185681821
8,11247.34474099999,499,22.539769020040058
9,12318.04679699997,530,23.241597730188623
10,12318.046796999959,530,23.2415977301886
11,12318.046796999959,530,23.2415977301886
12,12318.046796999959,530,23.2415977301886
13,12318.04679699996,530,23.241597730188605
14,12318.046796999959,530,23.2415977301886
15,12318.046796999963,530,23.24159773018861
16,12318.046796999957,530,23.241597730188598
17,12318.046796999966,530,23.241597730188616
18,12318.046796999955,530,23.241597730188595
19,12318.04679699997,530,23.241597730188623
20,12318.046796999959,530,23.2415977301886
