iteration,tot_distance,member_count,ave_distance
1,1451.7479809999998,179,8.110323916201116
2,4066.2782919999977,270,15.060289970370361
3,6529.75555400002,343,19.03718820408169
4,8878.39232200002,411,21.601927790754306
5,10259.943361999998,451,22.749320093126382
6,11054.335209999983,474,23.321382299578023
7,11952.343385999968,500,23.904686771999934
8,14782.747525999917,582,25.39990983848783
9,18140.078482999957,680,26.676586004411703
10,19797.042794000015,728,27.193740101648373
11,21627.597922000088,781,27.692186839948896
12,23907.15713800017,847,28.22568729397895
13,25413.66665100023,888,28.618993976351607
14,25992.033569000254,908,28.62558763105755
15,26164.72744900026,913,28.657970918948806
16,26371.960105000264,919,28.696365729053607
17,26786.29379900028,928,28.864540731681334
18,26924.44890300028,932,28.88889367274708
19,27062.604007000293,936,28.91303846901741
20,27131.6815590003,938,28.925033644989657
