iteration,tot_distance,member_count,ave_distance
1,437.29181900000015,135,3.2391986592592605
2,1395.980628,275,5.076293192727273
3,2063.8428710000007,332,6.216394189759038
4,4973.851094999997,483,10.29782835403726
5,7242.478911000026,574,12.617559078397257
6,8722.162868000027,650,13.418712104615425
7,11107.177268999994,743,14.949094574697167
8,11989.878810999977,786,15.254298741730251
9,12793.500052999956,824,15.526092297330043
10,13216.216250999954,859,15.385583528521483
11,13722.438358999947,904,15.17968845022118
12,13965.234579999946,931,15.000251965628298
13,14271.950792999945,957,14.91321921943568
14,14700.824448999943,986,14.909558264705824
15,15327.316708999944,1015,15.100804639408812
16,15840.782014999926,1030,15.379400014563036
17,15840.78201499991,1030,15.37940001456302
18,15840.782014999913,1030,15.379400014563023
19,15840.782014999913,1030,15.379400014563023
20,15840.782014999917,1030,15.379400014563027
