iteration,tot_distance,member_count,ave_distance
1,1451.3833129999991,179,8.108286664804464
2,4065.4367409999963,270,15.057173114814802
3,6528.85103700002,343,19.034551128279944
4,8877.487805000019,411,21.599727019464765
5,10259.038844999994,451,22.747314512195107
6,11053.430692999978,474,23.319474035864932
7,11951.438868999963,500,23.902877737999926
8,14092.84298099992,562,25.07623306227744
9,15336.238916999902,598,25.645884476588467
10,16717.789956999895,638,26.203432534482594
11,18064.802220999944,677,26.68360741654349
12,18915.19016099997,702,26.944715329059786
13,19872.093981000005,724,27.447643620165753
14,20011.487879000008,734,27.263607464577667
15,20218.72053500002,740,27.322595317567593
16,20425.953191000033,746,27.38063430428959
17,20874.95727900005,759,27.503237521739194
18,21047.651159000055,764,27.549281621727822
19,21151.267487000056,767,27.57661993089968
20,21151.267487000052,767,27.576619930899678
