iteration,tot_distance,member_count,ave_distance
1,4612.307678999995,241,19.13820613692944
2,7758.584594000021,375,20.68955891733339
3,10670.233252999995,515,20.71889952038834
4,10748.50215699999,526,20.43441474714827
5,10852.118484999992,529,20.51440167296785
6,10886.657260999991,530,20.540862756603758
7,10921.196036999992,531,20.567224175141227
8,11715.587884999975,554,21.14727055054147
9,13818.73873599994,689,20.056224580551437
10,14292.552860999942,797,17.932939599748988
11,15133.421646999928,866,17.47508273325627
12,17861.98495099996,945,18.901571376719534
13,18863.609454999994,974,19.367155497946605
14,20832.319687000072,1031,20.205935680892406
15,21005.013567000085,1036,20.275109620656455
16,21039.552343000087,1037,20.288864361620142
17,21078.735337000093,1039,20.287521979788348
18,21078.735337000082,1039,20.287521979788337
19,21081.840778000093,1040,20.27100074807701
20,21081.840778000093,1040,20.27100074807701
