iteration,tot_distance,member_count,ave_distance
1,3847.176856999995,231,16.654445268398245
2,9199.510850000019,387,23.771345865633123
3,13265.984938999954,507,26.165650767258292
4,14785.691082999921,551,26.834285087114196
5,14923.846186999921,555,26.88981294954941
6,15062.001290999917,559,26.944546137745824
7,15156.456054999919,563,26.9208810923622
8,15306.492087999919,568,26.948049450704083
9,15503.794937999914,574,27.01009571080124
10,15641.950041999913,578,27.06219730449812
11,15780.10514599991,582,27.113582725085756
12,15948.63244199991,587,27.169731587734088
13,16147.138427999904,593,27.22957576391215
14,16285.293531999901,597,27.27854862981558
15,16354.3710839999,599,27.30278978964925
16,16423.448635999903,601,27.326869610648757
17,16561.603739999904,605,27.374551636363478
18,16665.220067999908,608,27.40990142763143
19,17943.154779999953,645,27.818844620154966
20,19601.016028000013,693,28.284294412698433
