iteration,tot_distance,member_count,ave_distance
1,1065.6109970000005,164,6.497628030487808
2,2971.3786139999984,235,12.64416431489361
3,5452.253019000006,315,17.308739742857163
4,7285.429952000021,373,19.531983785522847
5,8931.436371000018,422,21.164541163507153
6,10701.534497999983,475,22.529546311578912
7,12314.647135999952,524,23.50123499236632
8,14803.139849999943,600,24.671899749999906
9,15575.517373999928,623,25.000830455858633
10,15817.288805999928,630,25.106807628571314
11,15817.288805999924,630,25.106807628571307
12,15817.288805999922,630,25.106807628571307
13,15817.28880599993,630,25.106807628571318
14,15817.288805999922,630,25.106807628571307
15,15817.288805999931,630,25.10680762857132
16,15817.28880599992,630,25.106807628571303
17,15817.288805999924,630,25.106807628571307
18,15817.288805999924,630,25.106807628571307
19,15817.288805999924,630,25.106807628571307
20,15817.288805999928,630,25.106807628571314
