iteration,tot_distance,member_count,ave_distance
1,1065.5134049999995,164,6.49703295731707
2,2971.0990859999984,235,12.642974834042546
3,5451.926783000007,315,17.307704073015895
4,7285.071152000022,373,19.53102185522794
5,8931.062579000018,422,21.163655400473974
6,11294.498571999979,499,22.634265675350658
7,14003.326110999938,581,24.102110345955143
8,16998.83956699995,678,25.07203475958695
9,18358.370139999974,718,25.568760640668486
10,19909.857586000024,764,26.06002301832464
11,20452.405257000024,780,26.221032380769262
12,20694.176689000054,787,26.295014852604897
13,21902.898480000087,822,26.645861897810324
14,22800.906656000112,848,26.88786162264164
15,24251.535248000153,890,27.248916008988935
16,25805.780168000227,935,27.59976488556174
17,26358.400584000232,951,27.716509552050717
18,27463.641416000268,983,27.938597574771382
19,28664.609537000295,1020,28.102558369608133
20,29459.001385000316,1043,28.244488384468184
