iteration,tot_distance,member_count,ave_distance
1,14146.905017999929,417,33.92543169784155
2,25194.780382000085,766,32.8913582010445
3,30390.440230000135,987,30.790719584599934
4,34132.97403900022,1128,30.259728757978916
5,36042.31897000031,1207,29.86107619718336
6,37313.432444000355,1269,29.40380807249831
7,38291.68602600038,1341,28.554575709172543
8,38502.967897000424,1369,28.12488524251309
9,39686.57026500042,1407,28.206517601279614
10,42200.73663800043,1487,28.379782540686236
11,43133.283590000465,1514,28.489619280053148
12,44065.83054200054,1541,28.595607100584388
13,45559.80009500052,1595,28.56413799059594
14,46837.734807000576,1632,28.699592406250353
15,47664.93732900065,1651,28.87034362749888
16,47735.74298300064,1658,28.7911598208689
17,48668.28993500065,1685,28.883258121662106
18,49773.53076700072,1717,28.988660900990517
19,50708.488571000766,1746,29.042662411798833
20,50715.469618000745,1753,28.930672913862377
