iteration,hit,distance
13,17,7.138136
13,31,16.663322
13,13,5.820995
13,16,7.520381
13,14,8.483033
13,9,3.304139
13,7,1.763661
13,12,5.732913
13,10,3.713577
13,18,10.247244
13,32,26.920034
13,11,5.350242
13,35,34.538776
13,33,34.538776
13,34,34.538776
13,37,34.538776
13,8,2.622571
13,36,34.538776
13,39,34.538776
13,38,34.538776
13,40,34.538776
13,41,34.538776
13,42,34.538776
14,26,7.726338
14,29,9.282023
14,27,8.951338
14,23,10.740765
14,22,10.67371
14,28,9.18665
14,30,8.584617
14,25,11.55591
14,4,0.708446
14,21,10.008585
14,24,10.75189
14,5,1.207748
14,19,8.372685
14,6,1.581186
14,3,0.420846
14,2,0.124756
14,20,9.925698
14,31,16.663322
14,15,8.235951
14,17,7.138136
14,13,5.820995
14,16,7.520381
14,14,8.483033
14,9,3.304139
14,7,1.763661
14,12,5.732913
14,10,3.713577
14,32,26.920034
14,18,10.247244
14,11,5.350242
14,35,34.538776
14,34,34.538776
14,33,34.538776
14,40,34.538776
14,37,34.538776
14,39,34.538776
14,38,34.538776
14,36,34.538776
14,8,2.622571
14,42,34.538776
14,41,34.538776
14,43,11.350871
14,44,10.437901
14,45,14.52315
15,26,7.726338
15,29,9.282023
15,27,8.951338
15,30,8.584617
15,22,10.67371
15,28,9.18665
15,23,10.740765
15,25,11.55591
15,4,0.708446
15,24,10.75189
15,21,10.008585
15,5,1.207748
15,6,1.581186
15,19,8.372685
15,3,0.420846
15,2,0.124756
15,31,16.663322
15,20,9.925698
15,17,7.138136
15,15,8.235951
15,13,5.820995
15,16,7.520381
15,7,1.763661
15,9,3.304139
15,14,8.483033
15,32,26.920034
15,10,3.713577
15,12,5.732913
15,18,10.247244
15,11,5.350242
15,40,34.538776
15,35,34.538776
15,39,34.538776
15,34,34.538776
15,37,34.538776
15,33,34.538776
15,38,34.538776
15,42,34.538776
15,36,34.538776
15,8,2.622571
15,41,34.538776
15,43,11.350871
15,44,10.437901
15,45,14.52315
16,26,7.726338
16,29,9.282023
16,27,8.951338
16,22,10.67371
16,30,8.584617
16,28,9.18665
16,23,10.740765
16,4,0.708446
16,25,11.55591
16,21,10.008585
16,24,10.75189
16,5,1.207748
16,6,1.581186
16,19,8.372685
16,3,0.420846
16,2,0.124756
16,20,9.925698
16,31,16.663322
16,40,34.538776
16,17,7.138136
16,15,8.235951
16,13,5.820995
16,16,7.520381
16,7,1.763661
16,9,3.304139
16,32,26.920034
16,39,34.538776
16,14,8.483033
16,10,3.713577
16,42,34.538776
16,12,5.732913
16,18,10.247244
16,11,5.350242
16,41,34.538776
16,38,34.538776
16,37,34.538776
16,35,34.538776
16,34,34.538776
16,33,34.538776
16,36,34.538776
16,43,11.350871
16,8,2.622571
16,44,10.437901
16,45,14.52315
17,29,9.282023
17,26,7.726338
17,27,8.951338
17,22,10.67371
17,30,8.584617
17,28,9.18665
17,23,10.740765
17,4,0.708446
17,25,11.55591
17,21,10.008585
17,24,10.75189
17,40,34.538776
17,6,1.581186
17,5,1.207748
17,19,8.372685
17,3,0.420846
17,2,0.124756
17,20,9.925698
17,31,16.663322
17,17,7.138136
17,39,34.538776
17,15,8.235951
17,13,5.820995
17,16,7.520381
17,7,1.763661
17,42,34.538776
17,32,26.920034
17,9,3.304139
17,14,8.483033
17,41,34.538776
17,10,3.713577
17,12,5.732913
17,38,34.538776
17,37,34.538776
17,18,10.247244
17,11,5.350242
17,35,34.538776
17,36,34.538776
17,34,34.538776
17,33,34.538776
17,43,11.350871
17,8,2.622571
17,44,10.437901
17,45,14.52315
18,29,9.282023
18,26,7.726338
18,27,8.951338
18,22,10.67371
18,30,8.584617
18,28,9.18665
18,23,10.740765
18,4,0.708446
18,25,11.55591
18,21,10.008585
18,24,10.75189
18,19,8.372685
18,40,34.538776
18,6,1.581186
18,5,1.207748
18,3,0.420846
18,20,9.925698
18,2,0.124756
18,31,16.663322
18,17,7.138136
18,15,8.235951
18,13,5.820995
18,39,34.538776
18,16,7.520381
18,7,1.763661
18,32,26.920034
18,9,3.304139
18,38,34.538776
18,42,34.538776
18,14,8.483033
18,37,34.538776
18,10,3.713577
18,12,5.732913
18,41,34.538776
18,18,10.247244
18,11,5.350242
18,35,34.538776
18,36,34.538776
18,34,34.538776
18,33,34.538776
18,43,11.350871
18,8,2.622571
18,44,10.437901
18,45,14.52315
19,29,9.282023
19,26,7.726338
19,27,8.951338
19,22,10.67371
19,30,8.584617
19,28,9.18665
19,23,10.740765
19,4,0.708446
19,25,11.55591
19,21,10.008585
19,24,10.75189
19,19,8.372685
19,40,34.538776
19,6,1.581186
19,5,1.207748
19,3,0.420846
19,20,9.925698
19,2,0.124756
19,31,16.663322
19,17,7.138136
19,15,8.235951
19,13,5.820995
19,39,34.538776
19,16,7.520381
19,7,1.763661
19,32,26.920034
19,9,3.304139
19,38,34.538776
19,42,34.538776
19,14,8.483033
19,37,34.538776
19,10,3.713577
19,12,5.732913
19,41,34.538776
19,18,10.247244
19,11,5.350242
19,35,34.538776
19,36,34.538776
19,34,34.538776
19,33,34.538776
19,43,11.350871
19,8,2.622571
19,44,10.437901
19,45,14.52315
20,29,9.282023
20,26,7.726338
20,27,8.951338
20,22,10.67371
20,30,8.584617
20,28,9.18665
20,23,10.740765
20,4,0.708446
20,25,11.55591
20,21,10.008585
20,24,10.75189
20,19,8.372685
20,40,34.538776
20,6,1.581186
20,5,1.207748
20,3,0.420846
20,20,9.925698
20,2,0.124756
20,31,16.663322
20,17,7.138136
20,15,8.235951
20,13,5.820995
20,39,34.538776
20,16,7.520381
20,7,1.763661
20,32,26.920034
20,9,3.304139
20,38,34.538776
20,42,34.538776
20,14,8.483033
20,37,34.538776
20,10,3.713577
20,12,5.732913
20,41,34.538776
20,18,10.247244
20,11,5.350242
20,35,34.538776
20,36,34.538776
20,34,34.538776
20,33,34.538776
20,43,11.350871
20,8,2.622571
20,44,10.437901
20,45,14.52315
