iteration,tot_distance,member_count,ave_distance
1,898.77222,131,6.860856641221374
2,3477.2774609999997,243,14.309783790123456
3,6272.855999000005,332,18.89414457530122
4,8845.572387000015,407,21.733593088452125
5,10088.968322999986,443,22.774194860045117
6,11849.426276999951,494,23.986692868420953
7,13230.977316999932,534,24.777111080524218
8,13749.058956999923,549,25.04382323679403
9,13749.058956999925,549,25.043823236794033
10,13749.058956999927,549,25.043823236794037
11,13749.058956999923,549,25.04382323679403
12,13749.058956999925,549,25.043823236794033
13,13749.058956999925,549,25.043823236794033
14,13749.058956999925,549,25.043823236794033
15,13749.058956999927,549,25.043823236794037
16,13749.058956999925,549,25.043823236794033
17,13749.058956999921,549,25.043823236794026
18,13749.058956999925,549,25.043823236794033
19,13749.058956999921,549,25.043823236794026
20,13749.058956999925,549,25.043823236794033
