iteration,tot_distance,member_count,ave_distance
1,4379.374060999999,231,18.958329268398263
2,8875.165759000016,387,22.9332448552972
3,11748.845207999992,507,23.173264710059154
4,15133.645255999942,605,25.014289679338745
5,18724.508082000004,709,26.40974341607899
6,21280.114591,827,25.7316984171705
7,23811.334349000048,917,25.966558723009868
8,25760.162064000076,1008,25.55571633333341
9,26550.231433000088,1074,24.720885878026152
10,26688.386537000104,1078,24.757315897031635
11,26792.002865000133,1081,24.78446148473648
12,26861.080417000114,1083,24.802474992613217
13,26895.619193000137,1084,24.811456820110827
14,26991.995433000146,1087,24.831642532658826
15,27037.042582000155,1090,24.80462622201849
16,27094.72221400015,1095,24.74403855159831
17,27142.20235500014,1098,24.71967427595641
18,27181.21363500013,1101,24.687750803814833
19,27207.930442000114,1103,24.667208016319233
20,27254.445832000103,1106,24.64235608679937
