iteration,tot_distance,member_count,ave_distance
1,1451.9356830000008,179,8.111372530726262
2,4085.555560999995,271,15.075850778597768
3,8337.316975000025,406,20.535263485221737
4,12723.741526999953,533,23.8719353227016
5,15348.688502999901,609,25.20310099014762
6,18733.48855099997,707,26.497154951909433
7,20529.50490300003,759,27.04809605138344
8,22981.757999000125,830,27.688865059036296
9,24759.04203400019,884,28.007966101810172
10,26070.445871000233,923,28.245336804984
11,28522.567349000332,991,28.78160176488429
12,28727.89144600033,990,29.0180721676771
13,29003.166105000346,996,29.119644683735288
14,29141.32120900035,1000,29.14132120900035
15,29257.072475000354,994,29.433674522133153
16,30350.265769000398,1025,29.610015384390632
17,31146.713021000425,1063,29.300764836312723
18,32101.012067000465,1092,29.396531196886873
19,32402.782994000463,1092,29.672878199634123
20,32471.86054600045,1094,29.681773808044287
