iteration,tot_distance,member_count,ave_distance
1,908.7914099999999,131,6.937339007633587
2,3529.533652000001,243,14.524829843621403
3,6358.52580300001,332,19.152186153614487
4,8933.34450400001,407,21.949249395577418
5,11058.072393999979,471,23.477860709129466
6,14022.808123999923,557,25.17559806822248
7,16440.522443999882,627,26.220928937798856
8,19060.67270799997,704,27.074819187499955
9,19746.234788000005,724,27.27380495580111
10,20363.112106000037,742,27.443547312668514
11,20363.11210600005,742,27.44354731266853
12,20527.72132700005,747,27.480215966532864
13,20740.377670000053,754,27.50713218832898
14,20740.377670000053,754,27.50713218832898
15,20740.377670000053,754,27.50713218832898
16,20527.721327000043,747,27.480215966532857
17,20363.11210600004,742,27.443547312668517
18,20527.721327000054,747,27.48021596653287
19,20740.377670000053,754,27.50713218832898
20,20527.721327000047,747,27.48021596653286
