iteration,tot_distance,member_count,ave_distance
1,14147.811115999928,417,33.927604594724045
2,25196.6474740001,766,32.89379565796358
3,30393.667492000113,987,30.793989353596874
4,34136.40938200022,1128,30.262774274822892
5,36045.825881000295,1207,29.863981674399582
6,37316.97920700033,1269,29.40660300000026
7,38295.270159000356,1341,28.557248440716148
8,38506.55592300039,1369,28.127506152666466
9,39690.28613300042,1407,28.20915858777571
10,42204.81223500041,1487,28.382523359112582
11,43137.35918700043,1514,28.492311219947446
12,44069.90613900051,1541,28.598251874756983
13,45564.12790100051,1595,28.566851348589662
14,46842.062613000584,1632,28.702244248162124
15,47669.24939800061,1651,28.872955419745978
16,47740.07078900062,1658,28.79377007780496
17,48672.61774100062,1685,28.885826552522623
18,49777.85857300067,1717,28.99118146359969
19,50712.81658900074,1746,29.04514123081371
20,50719.79819900072,1753,28.93314215573344
