iteration,tot_distance,member_count,ave_distance
1,43.251746000000004,33,1.31065896969697
2,333.81642800000014,75,4.450885706666669
3,866.595327,104,8.332647375
4,1754.3965830000009,133,13.190951751879705
5,2525.5748340000027,166,15.21430622891568
6,3277.2376990000007,190,17.248619468421058
7,3968.0132189999963,210,18.895301042857124
8,4632.438247999999,230,20.141035860869557
9,5421.6902720000035,253,21.42960581818183
10,6112.4657920000145,273,22.38998458608064
11,6768.559106000019,292,23.17999693835623
12,7551.079845000026,316,23.89582229430388
13,8105.8451740000255,334,24.268997526946183
14,8658.465590000014,350,24.738473114285757
15,9383.779886000004,371,25.293207239892194
16,9970.939077999998,388,25.6982965927835
17,10552.757162999998,406,25.992012716748764
18,11137.931884999993,423,26.33080823877067
19,11621.095357999986,438,26.53218118264837
20,11645.471052999985,439,26.527268913439602
