iteration,tot_distance,member_count,ave_distance
1,10.265987,8,1.283248375
2,49.087235,14,3.5062310714285716
3,186.235551,19,9.801871105263157
4,428.00698299999993,26,16.461807038461536
5,669.7784149999999,33,20.296315606060602
6,842.4722949999998,38,22.170323552631572
7,980.6273989999999,42,23.348271404761903
8,1146.764403,49,23.403355163265303
9,1372.8710850000002,56,24.51555508928572
10,1511.0261890000006,60,25.183769816666675
11,1683.7200690000009,65,25.90338567692309
12,1817.0124210000017,69,26.333513347826113
13,2003.166476000002,75,26.70888634666669
14,2141.3215800000016,79,27.10533645569622
15,2314.015460000001,84,27.547803095238105
16,2452.170564000001,88,27.8655745909091
17,2590.3256680000004,92,28.1557137826087
18,2728.480772,96,28.42167470833333
19,2866.6358759999994,100,28.666358759999994
20,3004.790979999999,104,28.89222096153845
