prot1,prot2,distance
0,1,0.34883720930232553
0,2,0.5894357743097238
0,3,0.7484957882069796
0,4,0.9481743227326266
0,5,0.9660023446658851
0,6,1.0459492140266022
0,7,1.0360696517412935
0,8,1.0221130221130221
0,9,0.9754901960784313
0,10,0.9401820546163849
0,11,0.9689189189189189
0,12,1.0176991150442478
0,13,0.9935064935064936
0,14,1.0062735257214555
0,15,0.9520725388601037
0,16,1.0402010050251256
0,17,0.9564606741573034
0,18,0.9464285714285714
0,19,0.9781121751025992
0,20,0.9815789473684211
0,21,1.0039113428943938
0,22,0.9323607427055702
0,23,1.002547770700637
0,24,0.9513444302176697
0,25,0.9527363184079602
0,26,1.0084235860409145
0,27,1.0060386473429952
0,28,0.9442379182156134
0,29,0.9146496815286624
0,30,1.0123456790123457
0,31,0.9600997506234414
0,32,0.9878048780487805
0,33,0.9298469387755102
0,34,0.9423076923076923
0,35,0.9914841849148418
0,36,0.9205128205128206
0,37,0.8875816993464052
0,38,0.9540229885057472
0,39,0.9241830065359478
0,40,0.9361430395913155
0,41,0.9356796116504854
0,42,0.9988066825775657
0,43,1.025
0,44,0.9200524246395806
0,45,0.9219330855018587
0,46,0.8907672301690507
0,47,1.0154946364719906
0,48,0.9145860709592641
0,49,1.0012165450121655
0,50,0.9167785234899328
0,51,0.9951980792316927
0,52,0.9160935350756534
0,53,0.8882907133243607
0,54,0.9544863459037711
0,55,1.0262172284644195
0,56,1.0530209617755857
0,57,1.0076238881829733
0,58,1.067650676506765
0,59,0.9532085561497327
0,60,1.0298136645962732
0,61,0.9876695437731196
0,62,0.9617283950617284
0,63,1.0011737089201878
0,64,0.9920544835414302
0,65,1.0095808383233533
0,66,0.9714993804213135
0,67,0.9835234474017744
0,68,0.9926829268292683
0,69,0.9250334672021419
0,70,0.9974457215836526
0,71,0.9962825278810409
0,72,0.9622641509433962
0,73,1.01323706377858
0,74,1.0093567251461988
0,75,1.0191846522781776
0,76,1.0416666666666667
0,77,0.9917355371900827
0,78,1.0336538461538463
0,79,1.0220162224797218
0,80,0.9463414634146341
0,81,0.9163449163449163
0,82,0.875968992248062
0,83,0.8898847631241997
0,84,0.8924302788844621
0,85,0.8796895213454075
0,86,1.0129870129870129
0,87,1.0281359906213365
0,88,0.931758530183727
0,89,0.8861578266494179
0,90,0.9513444302176697
0,91,1.008641975308642
0,92,0.9767441860465116
0,93,0.9325
0,94,0.8842105263157894
0,95,0.9184713375796179
0,96,0.974293059125964
0,97,0.9752604166666666
0,98,0.9987261146496815
0,99,0.9526123936816525
1,0,0.34883720930232553
1,2,0.32533013205282113
1,3,0.5607701564380265
1,4,0.7762073027090695
1,5,0.8667452830188679
1,6,1.0264105642256902
1,7,1.0391676866585067
1,8,0.9653035935563816
1,9,0.9429312581063554
1,10,0.9318479685452162
1,11,1.0125
1,12,1.0138364779874214
1,13,1.033292231812577
1,14,0.9899874843554443
1,15,0.921832884097035
1,16,0.9051724137931034
1,17,0.9032258064516129
1,18,0.9084604715672677
1,19,0.9085948158253752
1,20,0.9882198952879581
1,21,0.9880952380952381
1,22,0.8975069252077562
1,23,1.0012804097311139
