prot1,prot2,distance
1,2,0.43843843843843844
1,3,0.6075581395348837
1,4,0.7936046511627907
1,5,0.9744318181818182
1,6,1.0698324022346368
1,7,1.121212121212121
1,8,0.9854227405247813
1,9,1.065040650406504
1,10,1.0201149425287357
1,11,1.1043478260869566
1,12,1.1095890410958904
1,13,1.1846965699208443
1,14,0.9563758389261745
1,15,1.0333333333333334
1,16,1.031700288184438
1,17,1.0260115606936415
1,18,1.065155807365439
1,19,0.926829268292683
1,20,1.096774193548387
1,21,1.029673590504451
1,22,0.8848484848484849
1,23,0.9040697674418605
1,24,1.1657303370786516
1,25,1.0604229607250755
1,26,0.9175257731958762
1,27,0.9255663430420712
1,28,1.0458452722063036
1,29,1.0467836257309941
1,30,0.8047945205479452
1,31,1.1498708010335918
1,32,0.9254658385093167
1,33,0.8928571428571429
1,34,1.1197604790419162
1,35,1.1238670694864048
1,36,0.9751552795031055
1,37,0.9968354430379747
1,38,1.0420168067226891
1,39,0.9911242603550295
1,40,0.9858757062146892
1,41,1.0328767123287672
1,42,1.084931506849315
1,43,0.950920245398773
1,44,1.0141242937853108
1,45,1.0673854447439353
1,46,1.0371352785145889
1,47,1.0657534246575342
1,48,0.9805555555555555
1,49,0.9530791788856305
1,50,1.0558510638297873
1,51,0.989501312335958
1,52,1.0539083557951483
1,53,1.005420054200542
1,54,0.9882697947214076
1,55,0.9790419161676647
1,56,0.9003021148036254
1,57,1.0173410404624277
1,58,1.0255681818181819
1,59,1.00920245398773
1,60,1.0515151515151515
1,61,0.9067524115755627
1,62,0.9971428571428571
1,63,1.058011049723757
1,64,1.085164835164835
1,65,1.0526315789473684
1,66,1.1235632183908046
1,67,1.1073446327683616
1,68,1.045045045045045
1,69,1.0454545454545454
1,70,1.1020408163265305
1,71,1.1502890173410405
1,72,1.0769230769230769
1,73,1.0557275541795665
1,74,1.0484330484330484
1,75,1.050420168067227
1,76,1.061662198391421
1,77,1.0350877192982457
1,78,1.0501392757660166
1,79,1.0718232044198894
1,80,1.0086705202312138
1,81,1.0571428571428572
1,82,1.0339943342776203
1,83,1.1515151515151516
1,84,0.9853372434017595
1,85,0.9125
1,86,0.9766081871345029
1,87,1.0057142857142858
1,88,1.1129032258064515
1,89,1.1310160427807487
1,90,1.1243093922651934
1,91,1.0718232044198894
1,92,1.0831099195710456
1,93,1.1243243243243244
1,94,1.1095505617977528
1,95,1.1169590643274854
1,96,1.0355029585798816
1,97,1.0272727272727273
1,98,1.0608695652173914
1,99,1.1058823529411765
1,100,1.0220820189274449
1,101,1.0744985673352436
1,102,1.0570652173913044
1,103,1.0535714285714286
1,104,1.1768115942028985
1,105,1.003125
1,106,1.146551724137931
1,107,1.0821114369501466
1,108,1.0985915492957747
1,109,0.9825783972125436
1,110,1.086687306501548
1,111,0.9966442953020134
2,1,0.43843843843843844
2,3,0.3517441860465116
2,4,0.6395348837209303
2,5,0.8443804034582132
2,6,1.0642458100558658
2,7,1.1239669421487604
2,8,0.8902439024390244
2,9,0.9271137026239067
2,10,1.0784313725490196
2,11,1.046376811594203
2,12,0.9971428571428571
2,13,1.0335195530726258
2,14,1.0208333333333333
2,15,1.0433526011560694
2,16,0.9593023255813954
2,17,0.9887323943661972
2,18,0.9093567251461988
2,19,1.0055555555555555
2,20,0.9828080229226361
2,21,0.927710843373494
2,22,1.047752808988764
2,23,0.8761609907120743
2,24,1.151685393258427
2,25,1.0724233983286908
2,26,1.076271186440678
2,27,1.0027777777777778
2,28,0.9631901840490797
2,29,0.881578947368421
2,30,0.8940397350993378
2,31,1.0087209302325582
2,32,1.0202312138728324
2,33,1.026470588235294
2,34,1.0152905198776758
2,35,1.0495356037151702
2,36,0.93125
2,37,1.0518731988472623
2,38,1.0494505494505495
2,39,1.0
2,40,1.0444444444444445
2,41,1.0572207084468666
2,42,1.0657534246575342
2,43,0.9787798408488063
2,44,1.0868421052631578
2,45,1.0634920634920635
2,46,1.0211081794195251
2,47,1.0385674931129476
2,48,1.0902439024390245
2,49,1.12
2,50,1.1157894736842104
2,51,1.0761421319796955
2,52,1.0851063829787233
