iteration,tot_distance,member_count,ave_distance
1,2.461796,4,0.615449
2,15.446930000000002,9,1.7163255555555557
3,56.590445,15,3.7726963333333337
4,92.27420800000002,19,4.856537263157896
5,112.95650299999998,21,5.3788810952380945
6,153.731406,25,6.14925624
7,189.73603400000002,29,6.542621862068966
8,206.399356,30,6.879978533333333
9,240.93813199999994,31,7.772197806451611
10,336.93571799999995,34,9.909874058823528
11,406.0132699999999,36,11.278146388888887
12,509.6295979999999,39,13.067425589743587
13,578.7071499999998,41,14.114808536585363
14,615.0190719999998,44,13.977706181818178
15,615.0190719999998,44,13.977706181818178
16,615.0190719999998,44,13.977706181818178
17,615.0190719999999,44,13.97770618181818
18,615.0190719999998,44,13.977706181818178
19,615.0190719999998,44,13.977706181818178
20,615.0190719999998,44,13.977706181818178
