iteration,tot_distance,member_count,ave_distance
1,6.026108,6,1.0043513333333334
2,91.911635,20,4.59558175
3,211.80467,27,7.844617407407407
4,522.6536539999998,36,14.518157055555552
5,748.8392619999997,43,17.41486655813953
6,886.5735339999998,47,18.86326668085106
7,955.6510859999997,49,19.503083387755098
8,1128.344966,54,20.89527714814815
9,1266.5000700000003,58,21.836208103448282
10,1390.6084060000007,62,22.429167838709688
11,1519.830827000001,66,23.027739803030318
12,1657.985931000001,70,23.685513300000014
13,1882.8510170000015,77,24.45261061038963
14,2008.2576160000017,82,24.490946536585387
15,2088.329126000002,85,24.568577952941197
16,2128.8609370000017,87,24.469665942528756
17,2249.4663740000024,92,24.450721456521766
18,2347.1501000000017,96,24.449480208333352
19,2373.180842000001,97,24.46578187628867
20,2470.9102220000013,101,24.46445764356437
