iteration,tot_distance,member_count,ave_distance
1,2.365869,1,2.365869
2,6.298877,3,2.099625666666667
3,78.302554,6,13.050425666666667
4,147.380106,8,18.42251325
5,216.45765799999998,10,21.6457658
6,285.53520999999995,12,23.79460083333333
7,389.1515379999999,15,25.94343586666666
8,423.6903139999999,16,26.480644624999993
9,492.76786599999986,18,27.37599255555555
10,527.3066419999999,19,27.75298115789473
11,630.9229699999999,22,28.678316818181813
12,665.4617459999998,23,28.93311939130434
13,700.0005219999998,24,29.16668841666666
14,734.5392979999998,25,29.381571919999992
15,769.0780739999998,26,29.579925923076914
16,803.6168499999998,27,29.763587037037027
17,803.6168499999998,27,29.763587037037027
18,838.1556259999998,28,29.93412949999999
19,838.1556259999998,28,29.93412949999999
20,838.1556259999998,28,29.93412949999999
