iteration,tot_distance,member_count,ave_distance
1,3.2028749999999997,2,1.6014374999999998
2,50.167518,7,7.1667882857142855
3,153.78384599999998,10,15.378384599999999
4,225.46991199999997,13,17.343839384615382
5,294.54746399999993,15,19.636497599999995
6,363.62501599999996,17,21.38970682352941
7,432.7025679999999,19,22.773819368421048
8,501.78011999999984,21,23.89429142857142
9,573.2560339999999,24,23.88566808333333
10,642.4389469999998,27,23.794035074074063
11,649.7440049999999,29,22.404965689655167
12,688.1980049999997,31,22.199935645161283
13,791.8143329999998,34,23.28865685294117
14,860.8918849999997,36,23.91366347222221
15,895.4306609999998,37,24.20082867567567
16,929.9694369999997,38,24.472879921052623
17,929.9694369999997,38,24.472879921052623
18,929.9694369999997,38,24.472879921052623
19,929.9694369999997,38,24.472879921052623
20,929.9694369999997,38,24.472879921052623
