iteration,tot_distance,member_count,ave_distance
1,31.559143,27,1.168857148148148
2,396.7779070000001,67,5.922058313432837
3,1097.4881019999998,92,11.929218499999998
4,1468.5913020000003,105,13.986583828571431
5,2055.7504940000017,122,16.850413885245917
6,2746.5260139999987,142,19.341732492957735
7,3782.6892939999952,172,21.99237961627904
8,4646.158694,197,23.584561898477155
9,5060.6240060000055,209,24.213511990430646
10,5475.089318000009,221,24.774159809954792
11,5924.093406000014,234,25.316638487179546
12,6200.403614000015,242,25.621502537190146
13,6753.024030000021,258,26.17451174418613
14,7063.873014000024,267,26.45645323595515
15,7616.49343000003,283,26.913404346289855
16,8100.036294000033,297,27.272849474747588
17,8652.109547000027,313,27.642522514377085
18,9129.32016100002,327,27.91841027828752
19,9916.579225000007,350,28.33308350000002
20,10331.044537,362,28.53879706353591
