iteration,tot_distance,member_count,ave_distance
1,33.179451,20,1.65897255
2,131.836344,34,3.8775395294117647
3,536.7736789999999,56,9.58524426785714
4,945.3733000000002,77,12.277575324675327
5,1258.320382,91,13.827696505494506
6,1558.6540290000003,101,15.432218108910893
7,1714.7721399999998,109,15.731854495412842
8,1888.4222179999995,118,16.003578118644064
9,2191.753880999999,127,17.257904574803142
10,2329.9089849999987,131,17.785564770992355
11,2537.141640999998,137,18.519282051094876
12,2778.9130729999974,144,19.29800745138887
13,3193.3783849999963,156,20.47037426282049
14,3504.227368999995,165,21.237741630303002
15,3573.304920999995,167,21.39703545508979
16,3573.304920999995,167,21.39703545508979
17,3573.3049209999954,167,21.397035455089792
18,3573.304920999996,167,21.397035455089796
19,3573.3049209999954,167,21.397035455089792
20,3573.304920999996,167,21.397035455089796
